Name,Age,Investment_Amount,Tenure,Risk_Tolerance,Investment_Type,Return_Amount,Return_Percentage
Jasmine Lang,24,760324,2,Low,Stocks,968796.81,12.88
Jonathan Taylor,52,272197,16,Moderate,Gold,201060541591.92,132.69
Matthew Rogers,47,83892,9,Moderate,FD,12088403.12,73.72
Michelle Lee,30,867401,7,Moderate,Gold,158163609.34,110.37
Mrs. Melissa Mcdowell,56,32922,17,Moderate,FD,128040745649.45,144.14
Richard Sanchez,58,812192,3,High,FD,2420143.34,43.9
Walter Lewis,39,272559,18,Moderate,Equity,1183924755968.38,133.76
Ashlee Lucero,54,619581,18,Moderate,Gold,1160753372215.23,123.09
Jessica Ramos,65,381040,25,Low,Gold,7463802999580.39,95.74
Cynthia Williams,57,245759,13,Moderate,Gold,7337783272.63,120.92
Kelli Herman DDS,44,23766,6,Moderate,FD,1175788.26,91.6
Cheryl Rasmussen,54,476205,2,Moderate,FD,731622.43,23.95
Alexandria Castaneda,45,843691,17,Moderate,FD,4205519600481.63,147.73
Amanda Ramirez,51,782913,23,Low,Stocks,2586799501445.03,92.06
Elizabeth Love,52,105573,5,High,Stocks,981967.3,56.21
Timothy Cervantes,46,705391,4,Low,Stocks,1665006.9,23.95
Misty Armstrong,64,100555,20,Low,Gold,144409339731.89,103.17
Nancy Esparza,41,349150,6,Low,Stocks,5537988.41,58.51
Jacqueline King,21,692150,26,Low,Equity,155619080209781.22,109.52
Eric Sanchez,54,577689,15,Low,Gold,18774142842.88,99.89
Connie Perez,58,744872,17,High,Equity,25032316690174.97,177.16
Albert Lawson,21,434653,1,Moderate,Equity,697531.13,60.48
Joshua Morris,62,302111,4,High,Stocks,2005779.29,60.52
Jennifer Fleming,39,601834,21,Moderate,Equity,106468316014024.31,147.03
Brian Rogers,29,56470,7,Moderate,Stocks,6060769.02,95.03
Frank Scott,65,297323,3,Low,Stocks,792308.21,38.64
Daniel Lewis,33,703929,7,High,Stocks,73275760.52,94.18
Kara Black,51,571363,22,Low,FD,1536546412620.97,96.0
Peggy Contreras,26,951303,30,Low,Gold,1414049565129738.5,102.18
Michael Garza,39,733846,25,Moderate,Stocks,5744413327838496.0,148.74
Laurie Larson,49,198056,13,High,Gold,417415362716.91,206.51
Charles Johnson,48,229744,17,Low,Stocks,41295589886.11,103.75
Jennifer Gonzales,22,317840,16,Low,Gold,13620868684.65,94.76
Linda Kelly,28,209809,10,Moderate,Gold,50412260.89,73.01
Maria Hayes,62,339370,5,Moderate,Gold,1159250.02,27.85
Madeline Meyers,29,722437,16,Low,Stocks,55428594497.16,101.98
Morgan Cummings,44,367084,19,High,FD,2475964896316093.5,229.09
Justin David,30,466917,16,Moderate,Stocks,171523286635.78,122.75
David Hammond,65,51782,27,Low,FD,841937536620.91,84.96
Jessica Butler,46,365891,6,Moderate,FD,15302723.18,86.31
Ian Joseph,27,437180,17,Moderate,Equity,956042433906.16,136.01
Joshua Ellison,18,944036,16,High,FD,4026559893209.69,159.64
Anna Wade,51,241318,24,Low,Stocks,324240210709.94,80.03
Amy Patrick,23,614292,24,Low,Gold,2226535095871.83,87.63
Perry Pruitt,19,503211,13,Low,FD,1536623737.28,85.38
Mia Williamson,37,61434,3,Low,Gold,131450.78,28.86
Shelly Wood,42,990311,27,Moderate,Equity,1940860096225130.8,120.88
Krista Lane,32,858777,12,High,Equity,1883059434530.45,237.61
Yolanda Clark,52,274554,21,High,FD,1152002809008074.0,187.23
Mathew Green,29,144920,11,Moderate,Equity,3064787908.51,147.29
Sarah Daniels,56,947746,29,Moderate,Stocks,1.5225639675440035e+17,143.45
Dr. Trevor Newton,24,456880,6,Moderate,Stocks,13276639.42,75.34
Johnny Nash,35,412131,8,High,FD,54336058.04,84.08
Tammy Clarke,31,954534,30,Low,Equity,322590704715765.1,92.44
Mrs. Kelly Taylor,63,716989,11,High,Equity,107638627603.99,195.52
Keith Long,22,997306,30,Low,Stocks,56332957794819.42,81.3
Douglas Holmes,27,325514,22,Moderate,Gold,61664315767816.63,137.82
Andrew Diaz,32,781012,18,Low,Gold,149409110929.42,96.53
Angela Turner,60,894479,4,Moderate,Gold,4802385.5,52.22
Linda Beck,57,223334,21,Low,Equity,308076536914.18,96.05
Suzanne Ramirez,22,643475,23,High,FD,4.3936404914979936e+17,226.99
Sara Callahan,23,225823,8,Low,FD,22311525.41,77.56
Ashley Rogers,35,572068,3,Moderate,FD,1686216.69,43.38
Brittany Perez,18,364068,27,Low,FD,8641591348427.79,87.57
Shawn Allen,26,909568,9,Moderate,FD,140015982.1,75.0
Nicole Brown MD,21,66451,21,Moderate,FD,4705111588677.92,136.49
Mr. Brian Powell,38,365711,1,Moderate,Gold,580785.64,58.81
Cheryl Bradford,33,804039,20,Low,Equity,1135528066533.56,103.0
Teresa Kelley,45,837581,28,Low,Gold,194571674067349.88,98.97
Cody Jensen,48,35827,23,Low,Equity,312871078618.18,100.35
Stephen Martinez,33,519377,24,Low,Gold,9285113246621.42,100.53
Leah Scott,46,498697,22,Low,FD,906354384912.11,92.54
Matthew Johnson,63,455518,14,High,Gold,4402767264499.35,215.46
Paul Murillo,60,872657,29,Low,Stocks,430035836067793.25,99.41
Anthony Weiss,49,108368,1,Moderate,Gold,149081.86,37.57
Susan Case,62,810952,2,Low,Equity,1113150.47,17.16
Cassandra Miller,34,626440,4,Moderate,Stocks,2273251.95,38.02
Emily Stephenson,62,790824,20,Low,Gold,134012063881.13,82.58
Jeffrey Rivera,22,211399,9,High,Equity,102205395.1,98.73
Melissa Everett,54,100942,25,Moderate,Gold,41336612754495.41,121.05
Steven Decker,41,304208,20,Moderate,FD,4118861641844.98,127.29
Kevin Love,34,228443,16,High,FD,14552707424772.07,207.44
Elizabeth Franklin,19,638360,1,High,FD,930026.68,45.69
Aaron Hughes,56,203954,18,High,FD,58353044142883.94,194.99
Dr. Martin Hall,63,744548,7,Low,Gold,36771033.3,74.56
Amy Williams,43,823231,21,High,Gold,1414028803984893.5,175.27
Austin Vaughn,34,465110,18,Low,Gold,101103204512.61,97.93
Erin Salazar,55,821279,23,High,Equity,6.732810447213843e+17,229.6
Mary Jones,37,466080,23,High,Equity,2.830838350631852e+17,225.33
Timothy Reid,62,534557,27,Moderate,Equity,4442325374200551.5,133.02
William Harper,39,897157,4,High,FD,4305590.13,48.01
Margaret Evans,23,686785,17,Low,Gold,31899580801.26,88.16
Devin Martinez,30,216601,25,Low,Gold,1096883276526.66,85.43
Natalie Knight,26,54826,4,High,Gold,529898.72,76.32
Rachel Williams,43,57503,21,Low,Stocks,13840865223.72,80.41
Donna Atkins,33,303748,28,Low,Gold,27558483966029.56,92.4
Kenneth Hurley,29,244825,11,Moderate,Equity,2348383171.22,130.14
Chelsey Jones,58,488926,11,Low,Stocks,937180650.53,98.8
Andrew Mccormick,62,487219,7,High,FD,23975603.27,74.47
Christine Spencer,41,312043,20,High,FD,126334340102427.5,169.38
Keith James,52,638139,14,Moderate,Stocks,68922724192.71,128.84
Olivia Austin,61,304973,22,Low,Equity,1551075417634.73,101.76
Sarah Larsen,30,850433,21,Moderate,Stocks,15294910704979.64,121.55
Mark Jones,25,693319,20,Moderate,Equity,58293170622504.41,149.02
Charles Velez,41,625997,29,High,FD,8.484086375531368e+18,183.68
Regina Robinson,34,499981,30,Low,Equity,1863204364311237.5,108.47
Chelsea Hardin,44,865820,22,High,FD,1065221155010542.0,158.93
Stephen Nielsen,65,561519,5,Moderate,Equity,4386226.24,50.85
Stephanie Neal,50,906984,3,Moderate,Gold,1486418.29,17.9
Jeffrey Garrison,56,596657,4,Moderate,FD,2982097.88,49.52
Jonathan Gross,63,309359,2,Low,Equity,510582.83,28.47
Cathy Hendrix,63,487673,13,Low,Gold,1495454326.74,85.44
Anne Miller,59,957015,4,High,FD,2682387.99,29.39
Tamara Horne,43,612630,22,High,Equity,1.3959396619504917e+17,228.29
Omar Clark,30,469351,4,Moderate,Equity,710199.84,10.91
Pamela Anderson,28,812878,11,Moderate,FD,15132838434.03,144.44
Sandra Watkins,55,301600,5,High,Equity,4436872.75,71.21
Kimberly Young,52,864598,21,Low,Equity,363681624563.77,85.27
Joann Ellis,19,294399,10,Moderate,FD,741996471.39,118.85
Eric Sandoval,57,336955,2,Low,Gold,559684.09,28.88
Russell Fletcher,34,789413,7,Moderate,FD,48668767.94,80.18
Mariah Sanchez,33,749023,4,High,Equity,3986684.63,51.89
Jeanette Moreno,33,835940,1,Low,Stocks,1083545.43,29.62
Linda Sims,61,557470,24,Moderate,Gold,305868947649443.1,131.28
Jennifer Ramirez,38,419750,21,Low,Gold,133809260255.0,82.84
Jessica Mcgee,24,651775,3,Low,Stocks,821961.4,8.04
Grace Cabrera,50,808646,9,High,Gold,287265663.42,92.04
Samantha Shields,61,948172,3,Moderate,FD,1350754.11,12.52
Connie Gross,25,591789,22,High,Gold,3.2828350799669104e+16,207.87
Rebecca Jones PhD,47,801501,16,High,Gold,37586843425927.99,201.61
Jennifer Smith,65,170054,17,Low,Stocks,45559199179.45,108.59
James Page,49,50902,7,Low,FD,621207.4,42.96
Julie Rogers,55,794224,28,Low,Stocks,76151477273904.94,92.78
Ashley Petty,37,379984,18,Moderate,Equity,1083742058802.42,128.36
Emily Diaz,20,718432,5,Low,Stocks,1070355.27,8.3
Natalie Lewis,64,819911,2,High,Stocks,1971361.51,55.06
Emma White,26,551602,11,High,Equity,315481258907.48,233.73
Timothy Williams,53,996155,7,High,Stocks,149253081.36,104.55
Dylan Graham,47,151491,22,Moderate,FD,44421222991947.82,142.59
April Oconnor,57,382319,2,Moderate,Equity,1006581.22,62.26
Jennifer Carpenter,29,564207,4,High,Equity,2061099.84,38.25
Shannon Weaver,46,990901,15,High,Gold,8838143313448.51,190.64
Thomas Hanson,41,23343,6,Moderate,Stocks,1302478.77,95.48
Kelsey Sloan,47,486592,2,Moderate,FD,1341983.99,66.07
John Brooks,57,776564,7,Low,FD,36485307.95,73.32
Michael Chavez,35,629686,6,Moderate,Equity,49971208.23,107.3
Taylor Garcia,65,354219,2,High,Gold,966115.41,65.15
Crystal Smith,18,101771,19,Low,Stocks,35032883006.05,95.62
Barry Arnold,24,563481,17,Low,Stocks,19696760882.34,85.04
Christina Case,54,606268,16,Moderate,FD,1297770217377.35,148.69
Susan Larson,55,427378,30,High,Gold,1.307802916864253e+18,160.73
Mathew Jones,45,364632,4,Moderate,Gold,990785.35,28.39
Amber Carr,57,356017,9,Moderate,Stocks,400659370.23,118.29
Beth Petersen,39,132229,30,Moderate,Equity,1.0983782660688286e+17,149.64
Evan Kirby,40,621826,27,High,Gold,2.1619166528287363e+19,217.34
Amanda Vargas,21,779777,9,Moderate,Stocks,76973545.81,66.57
Mark Williams,25,705063,14,High,Equity,8794701321307.51,221.26
Heidi Williams,18,970608,27,Moderate,Stocks,4108477275477810.0,127.27
Carl Parker,20,113158,8,High,Gold,8377909.12,71.27
Leslie Johnson,22,942079,16,Moderate,Equity,1868836577442.33,147.51
Melinda Hernandez,63,53990,25,Moderate,Stocks,231432686567429.47,142.82
Jamie Wilson,41,710300,24,High,Gold,4.05991595469399e+16,180.68
Susan Torres DVM,40,355986,27,Moderate,Equity,1.8761937541651188e+16,149.52
Dr. Lori Taylor MD,53,545167,29,Low,Stocks,125415430065782.53,94.24
Joseph Price,54,877832,16,High,Gold,27710145018680.09,194.24
Jacob Blackwell,25,530762,29,Low,Equity,278817640211130.97,99.85
Kenneth Norman,33,73364,23,Moderate,Equity,49438115075353.42,142.02
Alyssa Shaw,33,437889,13,Low,Gold,5065472703.57,105.38
Logan Mitchell,48,912466,17,Low,Gold,238939919206.42,108.31
Robert Meyer,41,12008,18,High,FD,37639944290657.88,236.95
Lisa Bailey,49,929503,14,High,Equity,771374635021.06,164.72
Randy Todd,60,52765,14,Moderate,FD,10030372226.26,138.27
Cesar Roberts,41,87115,14,Low,FD,1966360766.65,104.63
Brent Allen,30,923978,7,Moderate,FD,79184746.04,88.86
Cameron Grant,59,406866,12,Moderate,Stocks,6841925620.35,124.98
Lindsey Lowe,38,569259,8,High,Stocks,44753907.75,72.56
Justin Moore,48,346034,3,Moderate,Equity,858392.79,35.37
Bruce Anderson,49,954904,8,Moderate,FD,88114614.96,76.05
Megan Meyer,48,594620,9,Low,FD,16910972.01,45.06
Michael Gray,30,268188,24,Moderate,Equity,67422755727904.83,123.88
Katherine Wheeler,19,677974,24,High,Stocks,1.7382497264891261e+18,228.88
Carrie Thompson,61,128830,1,Low,FD,175582.41,36.29
Mark Clark,22,813634,16,Moderate,Equity,449374432231.89,128.5
Samuel Patel,44,651918,30,High,Gold,1.7475156728072868e+19,180.29
Anthony Davis,46,358085,22,High,Gold,4.074614100943364e+16,218.09
Carolyn Suarez,60,114110,15,Low,Gold,3211023648.87,97.98
Cheryl Martin,61,145372,1,Low,Stocks,168965.88,16.23
Brittany Burgess,53,402501,13,High,Gold,99716954948.66,159.97
Kayla Marsh,57,987657,6,Moderate,FD,61838318.38,99.27
Jessica Hall,44,637760,9,Moderate,FD,26450417.97,51.27
James Rose,51,414547,1,High,Gold,643086.76,55.13
Brittany Turner,24,25285,4,Low,FD,66172.09,27.19
Jennifer Russell,41,887070,28,High,Equity,9.453570709406203e+17,168.88
Jason Mack,61,697390,9,Low,FD,41757792.39,57.57
Bryan Curtis,60,544451,27,Moderate,Stocks,2.544039324622277e+16,148.41
Gregory Burton,31,488240,17,Moderate,Stocks,639494121664.74,129.0
Sheena Evans,43,754719,22,Low,Stocks,344514504853.35,80.82
Hannah Smith,60,174224,5,Moderate,Gold,594664.38,27.83
Parker Hoffman,25,422664,12,Low,Equity,786346185.94,87.27
Stephen Campbell,26,42849,16,Moderate,Gold,87507793600.26,147.96
Edward Morrison,23,879820,13,High,FD,261928755567.18,163.67
Jeremy Dean,18,453322,12,Low,Equity,2986557402.34,108.08
Emma Harris,35,219640,4,Low,Gold,359768.04,13.13
Barbara Barnett,18,173748,30,High,Gold,3.055504017413328e+17,155.96
James Miller,44,45881,15,Low,Stocks,1297942867.15,98.05
Denise Smith,39,63423,6,Moderate,FD,1523328.26,69.86
Jasmine Lewis,40,427614,22,Low,Stocks,3967717919430.18,107.35
Paul Mcgee,52,415328,10,Moderate,Gold,41221176.03,58.37
John Cruz,64,992183,19,Low,Equity,264090694010.46,92.99
Barbara Morris,34,137903,15,High,Equity,494506331906.77,173.51
Julie Martin,36,718691,10,Low,FD,141848531.54,69.64
David Mora,43,913031,25,High,Stocks,8774874412416532.0,150.79
Christine Conley,52,590142,8,Moderate,Stocks,21181712.26,56.45
Heidi Barrett,20,91569,10,Moderate,FD,7372018.75,55.09
Matthew Bradley,64,47445,10,High,FD,402315141.2,147.08
Brandon Walsh,28,993053,12,Moderate,Equity,36466610696.48,140.11
Brittney Wood,44,374467,5,Low,Gold,992321.4,21.52
Dakota Moore,54,166722,11,Moderate,Stocks,3598679800.54,147.75
Jodi Thomas,56,18054,22,Low,Equity,49765160425.25,96.22
Lucas Sanchez,50,374711,16,Moderate,Gold,334026119233.58,135.44
Jason Hill,50,732828,12,Moderate,Stocks,15193652748.42,128.94
Hannah Fitzgerald,55,508570,19,Moderate,Gold,7689398716676.71,138.71
Jennifer Maddox,62,773678,10,Moderate,Equity,370242398.96,85.35
Tommy Newman,45,329238,13,Moderate,Equity,14063197918.26,127.09
Lori Woods,58,484371,8,High,Stocks,33915959.72,70.08
Douglas Taylor,20,911072,26,High,Stocks,4.029688055845343e+18,206.46
Linda Campos,18,81783,3,Moderate,Gold,151631.18,22.85
Michael Fisher,33,667321,18,Low,FD,269740032697.64,104.87
Mark Scott,34,375959,7,High,Equity,73707431.17,112.56
Alison Smith,42,639965,19,Low,Gold,51208275543.45,81.16
Alyssa Johnson,49,454399,16,Moderate,FD,405337218918.46,135.45
Marc Butler,32,68694,3,Moderate,Stocks,193590.56,41.25
Linda Walsh,30,149803,22,Moderate,Stocks,24099796317882.25,136.06
Eric Walker,57,380236,5,Moderate,Equity,3031700.95,51.47
Maria Green,23,609831,3,High,FD,1027144.14,18.98
Judy Kelley,24,10769,25,Moderate,Equity,30347580598189.63,138.78
Dan White,56,215846,11,Moderate,Gold,3125514885.93,138.92
Rachel Meyers,39,773754,22,High,FD,1.6270425716315456e+16,194.59
Jennifer Torres,38,553647,14,Moderate,Equity,140919978609.69,143.29
Becky Schultz,54,177346,9,Moderate,Gold,32494750.95,78.42
Tina Grimes,48,39931,14,Moderate,Gold,10352416858.38,143.61
Jonathan Johnson,55,994324,20,High,Stocks,1.3567436494752086e+16,221.18
Amber Fox,34,959134,15,High,Equity,1171471482657.53,154.56
Amy Watts,38,246409,27,Moderate,Equity,5884135721453962.0,142.31
Shelby Kerr,29,671974,1,Low,FD,732182.87,8.96
Roger Jones,28,914587,9,Moderate,Equity,394741548.81,96.24
Daniel Lawson,53,619935,30,Low,FD,418506862049245.56,96.93
Amy Green,47,366186,12,Moderate,Equity,11297434758.67,136.65
Chad Henry,19,109242,1,Low,Stocks,140594.45,28.7
Sharon Harvey,30,454679,14,High,Stocks,1645211558649.51,194.08
Brandy Brown,33,312088,4,Moderate,Stocks,485314.35,11.67
Debra Harding,51,180446,10,Moderate,Equity,258138393.89,106.8
Christopher Salazar,51,666350,23,Low,Gold,1768661243912.27,90.24
Christina Fox,36,152113,12,Moderate,Gold,3186964579.97,129.14
Leah Williams,35,270365,11,High,Gold,16714189338.57,172.62
Anna Patton,31,328361,11,Low,FD,960113494.03,106.58
Stephanie King,51,438281,12,Moderate,Equity,8828311693.93,128.39
Carolyn Jenkins,52,533369,4,Moderate,Stocks,2997589.85,53.97
David Camacho,40,894358,20,High,Stocks,99882769179805.7,152.58
George Park,35,78219,12,Low,Stocks,142018534.79,86.89
Patricia Chung,58,738236,19,Moderate,FD,4884706866007.56,128.55
Anthony Nolan,65,172502,15,Low,Stocks,1190271447.23,80.27
Catherine Porter,40,576312,30,Low,FD,1571325051316988.5,106.31
Alexander Ryan,20,885304,16,Moderate,Stocks,1568752164822.9,145.77
Mariah Torres,53,169871,25,High,Gold,1.0934268934924347e+17,196.72
Melinda Sanchez,35,521778,12,Low,Gold,2697762001.77,103.92
Michael Snyder,24,970217,27,Low,FD,282139337204461.56,105.81
Chris Downs,45,548644,4,Moderate,Stocks,3515372.51,59.1
David Martinez,37,888382,28,Low,Stocks,43381337096708.98,88.19
Kelli Rojas,55,851416,10,High,Equity,1194644634.32,106.4
Angela Webster,62,507656,24,High,Stocks,2.7494357155566134e+17,208.25
Jared Hanson,41,427047,16,Low,FD,9109066622.47,86.45
John Gray,32,154057,25,Moderate,Equity,104876344755182.4,125.59
Kathleen Davis,33,377260,25,Moderate,Gold,400273100959904.0,129.63
Brittney Clarke,48,860675,14,Moderate,Equity,205601410170.05,142.19
Wesley Smith,44,803627,5,Low,FD,2487002.44,25.35
Brandon Ramirez,48,491027,4,High,FD,2199472.53,45.48
Kristen Phillips,40,256426,10,High,Gold,580955432.02,116.53
Marie Mullins,28,134454,12,Low,Equity,941497066.5,109.14
Heather Moran,61,576587,23,High,Stocks,4.228517981703661e+16,196.76
Mark Kramer,43,326775,8,Low,Gold,7373026.27,47.63
Kelsey Reed,22,470787,23,Moderate,Stocks,204835450683075.2,137.46
Joel Benson,28,702039,17,Low,Equity,204677273256.45,109.63
Mrs. Dana Ferguson,61,939154,17,Moderate,FD,2995830559867.53,141.31
Stacy Jones,33,173643,25,High,Stocks,7.8678253690827e+17,220.81
Natalie Alexander,52,973769,3,Moderate,FD,2530314.56,37.48
Sarah Gonzalez,32,450585,10,High,Gold,3464048386.42,144.67
Susan Palmer,21,399813,23,Low,Stocks,2408109395840.58,97.14
Sheila Wong,24,425921,3,Low,Equity,875957.56,27.17
Christina Bennett,35,516349,5,High,Gold,3136505.86,43.45
Darrell Murillo,18,277106,30,Low,FD,339934694819051.25,100.89
Craig Hill,25,29462,18,High,Stocks,1579091580751.96,168.78
Lori Alvarado,31,68587,14,High,FD,232915536905.08,192.75
Thomas Pope,34,640149,28,Moderate,FD,8.446818239915451e+16,149.55
Alicia Roth,21,826110,4,High,Equity,2491356.59,31.78
Antonio Jackson,61,348784,22,Low,Equity,919203292172.71,95.82
Alicia Smith,26,966211,23,Low,Gold,809780762067.61,80.94
Madeline Horton,36,300423,20,Low,Equity,403463996626.32,102.49
Steve Allen,22,352452,15,High,FD,31378743644851.46,238.82
Michael Ellis,64,887262,10,Moderate,FD,190009291.7,71.03
David Wheeler,22,704527,30,Moderate,Stocks,4.4386927362090566e+17,147.35
Patricia Ortiz,65,756981,17,Moderate,Stocks,677631741039.86,123.93
Paul Wallace,31,116997,12,High,Equity,20894892587.49,173.94
Kimberly Paul,18,664483,21,Low,Equity,1049728811092.62,97.32
Ricky Hogan,48,973341,7,Low,Stocks,12136936.42,43.4
Daniel Gonzalez,33,360948,25,Low,FD,3067492622456.68,89.31
William Hicks,51,972357,23,Low,Equity,13561460887429.92,104.47
Paula Becker,44,262686,15,Moderate,FD,39922634992.39,121.54
Molly Jackson,47,28879,11,Low,Stocks,54172799.46,98.41
Robert Fleming,37,325098,26,High,Gold,1.5163148482789523e+17,181.06
Kimberly Walker,25,932038,21,Low,Stocks,971352885170.79,93.45
Justin Parks,27,745767,10,High,FD,181482275.45,73.23
Kristin Stewart,49,447850,6,High,Gold,45914888.16,116.34
Jesse Lawson,48,99060,16,High,Stocks,837325155271.69,170.98
Carly Ayala,52,692063,29,Moderate,Stocks,2.066568515849178e+17,148.71
Aaron Weeks,42,261678,9,Moderate,Stocks,220184874.15,111.35
David Harris,53,153086,7,High,Equity,9883110.39,81.37
Mark Singh,25,919288,13,Moderate,Equity,72032507861.21,137.94
Shannon Sullivan,40,485759,8,High,FD,291678772.77,122.49
Jennifer Pierce,49,355396,23,Low,Equity,3926880882293.52,102.41
Lisa Smith,51,745516,17,High,Gold,489137412883863.06,230.1
Jodi Maxwell,62,146395,13,Moderate,Stocks,13824292761.33,141.38
Jacob Green,57,417091,5,Moderate,Gold,4784496.49,62.9
Mark Martinez,59,167488,3,Low,Gold,253666.58,14.84
John Johnson,41,764352,20,Moderate,Stocks,35946093255141.0,141.89
Alicia Cole,51,163554,11,High,Equity,9051402893.58,169.89
Michelle Cameron,44,112209,6,Moderate,Stocks,2204035.59,64.26
Christine Sullivan,55,30319,4,Moderate,FD,48496.14,12.46
Diana Williams,57,733784,4,Low,FD,1993231.41,28.38
Joshua Bradley,23,449885,29,Low,Equity,53416119253928.7,89.86
Debra Rivera,62,423269,25,Moderate,FD,749255966787131.2,134.38
Mr. Dennis Turner,35,213003,6,High,Gold,6107583.33,74.95
Charles Hudson,46,133838,27,High,Stocks,1.2007654385005382e+17,177.14
Tina Gallagher,31,194973,16,Moderate,Stocks,135640348836.28,131.82
Vincent Butler,54,683945,13,High,FD,1676339862222.83,210.09
Stephen Young,45,995072,7,Low,Gold,13319682.48,44.86
Caitlin Hayes,53,890867,2,High,Stocks,1701980.77,38.22
Charles Hunter,31,675178,8,Moderate,Equity,55260152.05,73.43
Ryan Garcia,62,638467,13,Moderate,Gold,56539562433.27,140.19
Peter Harris,26,600190,23,Moderate,Gold,337073378010335.8,140.11
Stephanie Austin,32,309285,15,High,Equity,3231183710353.67,193.72
Rebekah Craig,60,746855,12,Moderate,Gold,11709251812.91,123.67
Melissa Rogers,44,271442,16,Low,Equity,4046001517.41,82.32
Daniel Burton,18,665650,1,High,Stocks,797714.96,19.84
William Dean,18,222579,11,Moderate,FD,5136445500.18,149.26
Micheal Hill,57,903936,26,High,Gold,3.0852260332299945e+18,203.42
Michael Price,62,70748,14,High,Equity,412042851288.1,204.25
Barbara Shields,34,859232,29,Low,Equity,138666651024615.31,91.88
Taylor White,29,312153,7,Moderate,Equity,37771061.3,98.4
Timothy Rodriguez,59,827680,5,Moderate,FD,4019371.55,37.17
Mrs. Tina Tapia MD,63,571898,26,Low,Gold,19219084787371.64,94.75
Alexandra Arroyo,30,997103,8,Low,Equity,68773789.56,69.76
Jason Nolan,47,921701,14,High,FD,918359848846.64,168.2
Caitlyn Pineda,37,682978,15,High,FD,2081424049637.99,170.56
Rebecca Nguyen,22,342825,5,Moderate,Stocks,1057144.91,25.26
Alexis Keith,18,270296,13,High,Gold,99543580046.15,168.02
Jennifer Allen,23,695064,20,Low,Equity,468047453514.96,95.62
Richard Nguyen,40,287197,18,High,Gold,206196673998451.2,210.46
Stephanie Collins,25,32717,1,Moderate,FD,48849.75,49.31
Jennifer Jordan,62,947229,13,Moderate,FD,108200996710.98,144.94
Rebecca Scott,55,958291,5,Low,FD,1566626.61,10.33
Martha Sanchez,61,441379,17,Low,Stocks,28825634093.85,91.97
Marcus Chavez,20,682796,30,Moderate,Stocks,5.550630421044951e+16,131.03
Heather Allen,34,620131,12,High,FD,85783891956.69,168.17
Carol Simpson,30,821992,24,Moderate,Stocks,804912917532999.2,136.93
Elizabeth White,50,98873,21,High,Gold,25618341987193.12,151.56
Brian Jones,30,236932,13,High,Stocks,48202143959.72,156.06
Michael King,53,915990,2,Moderate,Equity,2241459.12,56.43
Michael Rocha,51,396278,26,Moderate,Stocks,6655745348473931.0,147.33
Charles Gibson,50,325713,8,Moderate,Equity,111164135.27,107.32
Robert Burch,44,158737,26,Moderate,Gold,1852345541476234.5,143.89
Daniel Boyle,38,331684,6,High,Stocks,7335599.11,67.54
Alexandra Pena,52,316713,9,High,Gold,924981027.89,142.69
Maria Carroll,38,78549,22,High,Stocks,2.7587091792764684e+16,234.81
Maureen Sanchez,54,30060,11,Low,Equity,42925356.28,93.55
Jon Hall,21,876999,25,Low,Gold,2621219860895.58,81.56
Michael Jordan,51,756164,10,High,Gold,861694764.01,102.15
Tyler Eaton,46,420177,6,High,Equity,40187205.11,113.85
Bryan Ward,59,641781,23,Low,Stocks,2578505915900.41,93.7
Dana Pierce,59,571441,18,Moderate,Gold,4097235370792.62,140.36
Jonathan Mendoza,63,373736,13,High,Equity,327034716586.37,186.47
Joan Schmitt,55,241693,28,High,Equity,6.803244269485236e+18,202.23
Brian Dixon,61,471007,4,High,FD,2517520.75,52.05
Joshua Becker,62,616218,26,Moderate,Stocks,3900929558949313.0,138.22
Matthew Adams,23,574768,30,Moderate,Gold,1.8440376770923196e+16,123.98
Rodney Wyatt,29,401236,7,Low,Equity,5668307.57,45.98
John Vasquez,42,791130,24,Moderate,Equity,624375679796389.2,134.81
Jacob Hamilton,24,27406,28,Moderate,FD,3441899473223100.5,149.11
Sara Henderson,27,279943,16,Moderate,FD,466860945911.83,144.84
Beverly Evans,65,720697,7,High,Equity,81119240.95,96.36
Robert Mckinney,27,786561,28,Low,Equity,15767365366563.93,82.3
Ronald Anderson,50,863298,12,High,FD,109555991121.14,166.25
Craig Ortega,46,295049,10,Moderate,Gold,96726702.71,78.47
George Richardson,34,658417,13,Low,Gold,1782370450.66,83.67
Stephanie Henry,54,358594,25,High,Gold,1.3521152802984898e+17,190.44
Anita Hamilton,56,932795,18,High,Equity,36667471001714.77,164.19
Felicia Barber,54,485751,7,Moderate,Gold,38336253.06,86.65
Brooke Woodard,21,543784,14,High,FD,419209555005.43,163.33
Bonnie Summers,59,596295,23,High,FD,3.694103477574185e+17,225.61
Christina Moody,31,411007,10,Moderate,FD,273747970.3,91.58
Stephanie Conley,30,914892,11,Moderate,Gold,15328859191.66,142.11
Joshua Garcia,30,669189,1,High,Stocks,1063341.32,58.9
Jessica Ayala,28,486353,1,High,Stocks,586687.62,20.63
John Brown,51,262167,8,Low,FD,8229207.8,53.85
Ian Maynard,49,965790,22,High,FD,3883349315268635.0,173.25
Miss Kathleen Andrews,33,495440,26,Moderate,Equity,1.065174963980577e+16,149.69
Kimberly Stewart,31,938036,30,High,Stocks,4.276239098946183e+21,232.63
William Pennington,22,860033,5,Moderate,FD,2124035.11,19.82
